X,Y,name,midas
-69.2483270217,44.9192123,Alder Stream Pond-55-Corinna,"0055"
-67.9031977347,46.3281976637,Alerton Lake-1012-Monticello,"1012"
-70.6041655314,43.437961459,Alewife Pond-3984-Kennebunk,"3984"
-69.2150038012,44.2370521122,Alford Lake-4798-Hope,"4798"
-68.9159502118,44.6699934176,Alger Pond-7653-Winterport,"7653"
-69.5234375975,46.3163617557,Allagash Lake-9787-T8 R14 WELS,"9787"
-69.6712000949,46.4217409808,Allagash Pond-2970-T9 R15 WELS,"2970"
-70.3779646385,43.8667628306,Allen Bog Pond-5884-Gray,"5884"
-67.935306079,44.8471160413,Allen Heath Pond-6052-T24 MD BPP,"6052"
-70.9325726077,43.7725177522,Allen Pond-3184-Parsonsfield,"3184"
-70.1599118179,44.2276225065,Allen Pond-3788-Greene,"3788"
-70.7439700961,43.3807852769,Allen Pond-3863-Sanford,"3863"
-68.0843260055,44.9612114811,Allen Pond-4516-T35 MD BPP,"4516"
-68.2092882324,44.9402352052,Alligator Lake-4498-T34 MD BPP,"4498"
-69.1893507449,45.6302387725,Alligator Pond-502-TA R11 WELS,"0502"
-67.8048615983,45.2666970115,Amazon Lake-1108-Grand Lake Stream Plt,"1108"
-68.8675075937,45.7200984191,Ambajejus Lake-982-T1 R9 WELS,"0982"
-68.6480837956,44.159580959,Ames Pond-5554-Stonington,"5554"
-68.0593219249,44.6475632852,Anderson Pond-4426-T10 SD BPP,"4426"
-69.659756323,44.3572633117,Anderson Pond-5422-Augusta,"5422"
-70.0849996378,44.3241783631,Androscoggin Lake-3836-Wayne,"3836"
-69.9801133914,44.2697037491,Annabessacook Lake-9961-Monmouth,"9961"
-69.609145596,43.8535984997,Appalachie Pond-5370-Boothbay Harbor,"5370"
-70.0230153579,44.2902105415,Apple Valley Lake-3834-Winthrop,"3834"
-68.0282840497,46.6512445798,Arnold Brook Lake-409-Presque Isle,"0409"
-70.7888875483,45.3827859147,Arnold Pond-3332-Coburn Gore,"3332"
-68.9377223917,46.3089366336,Atkins Pond-4176-T8 R9 WELS,"4176"
-70.2903507725,45.5686185588,Attean Pond-2682-Attean Twp,"2682"
-68.7683986513,46.1049539402,Atwood Pond-4250-T5 R8 WELS,"4250"
-70.2533107656,44.1447988838,Auburn Lake-3748-Auburn,"3748"
-68.274375415,44.3704407936,Aunt Betty Pond-4588-Bar Harbor,"4588"
-69.9502103764,46.0527129748,Austin Pond-2410-T5 R17 WELS,"2410"
-69.7476761321,45.2098903705,Austin Pond-278-Bald Mountain Twp T2 R3,"0278"
-69.6675038268,46.241399082,Avery Pond-3001-T7 R15 WELS,"3001"
-71.007585203,45.0245569759,Aziscohos Lake-3290-Parkertown Twp,"3290"
-70.9908985221,44.896223591,Aziscohos Pond-3106-Magalloway Plt,"3106"
-68.0377647517,46.2018385844,B Lake-1718-Hammond,"1718"
-70.9596523854,44.7433418888,B Pond-3276-Upton,"3276"
-69.1309624614,45.5705281348,B Pond-478-TB R11 WELS,"0478"
-69.0352591312,45.5099759178,Babbble Brook Deadwater-544-TB R10 WELS,"0544"
-70.8138457865,44.2099313727,Back Pond Kezar-3199-Stoneham,"3199"
-68.3133313228,45.5533394788,Back Settlement Pond-3044-Mattawamkeag,"3044"
-69.4356393876,45.2988090049,Badger Pond-860-Willimantic,"0860"
-70.652729335,45.3272927953,Bag Pond-5064-Chain of Ponds Twp,"5064"
-68.8604030001,45.6810364284,Bait Pond-978-T1 R9 WELS,"0978"
-69.7289736802,45.1448942873,Baker Flowage-272-Mayfield Twp,"0272"
-69.9139138176,46.2679244939,Baker Lake-2400-T7 R17 WELS,"2400"
-69.8386079512,45.2355708493,Baker Pond-242-Caratunk,"0242"
-69.8665388534,45.3833881252,Baker Pond-4060-Moxie Gore,"4060"
-69.8460138811,45.7262154108,Baker Pond-4122-Tomhegan Twp,"4122"
-69.4121782737,45.5366077576,Baker Pond-422-Bowdoin College Grant West Twp,"0422"
-70.3754699299,45.3926235238,Baker Pond-5110-T5 R6 BKP WKR,"5110"
-69.7710748486,44.9816258258,Baker Pond-62-Solon,"0062"
-69.8277881971,45.2453026984,Baker Stream Pond-7104-Bald Mountain Twp T2 R3,"7104"
-70.963775245,43.6119446668,Balch Pond-3898-Acton,"3898"
-69.7292712045,45.2589846372,Bald Mountain Pond-314-Bald Mountain Twp T2 R3,"0314"
-70.2265405728,44.7185391765,Ballard Pond-5196-Farmington,"5196"
-68.7453855455,44.81946106,Bangor Health Inst. Pd-6939-Bangor,"6939"
-68.0729562248,44.5617666983,Barbless Pond-4384-T7 SD BPP,"4384"
-69.6344378654,44.9072295371,Barker Pond-2600-Cornville,"2600"
-71.0101960158,45.3069921743,Barker Pond-3118-Bowmantown Twp,"3118"
-70.7554593378,43.8943718073,Barker Pond-3136-Sebago,"3136"
-70.5486262568,45.2164571129,Barnard Pond-2352-Eustis,"2352"
-70.4481462264,44.1727742013,Barnett Pond-3774-Oxford,"3774"
-67.8733554563,44.8407088339,Barren Pond-1220-T24 MD BPP,"1220"
-70.4884906118,45.5208429978,Barrett Pond-2658-Holeb Twp,"2658"
-67.5026982789,45.042762648,Barrows Lake-1298-Alexander,"1298"
-68.871324621,46.5555419307,Bartlett Pond-1986-T10 R9 WELS,"1986"
-70.2052077503,44.4011913925,Bartlett Pond-3820-Livermore,"3820"
-70.6571130443,43.5756437424,Bartlett Pond-5026-Waterboro,"5026"
-68.4606467455,47.246004268,Basil Pond-417-Fort Kent,"0417"
-70.1396877496,45.2453417865,Basin Pond-42-Pierce Pond Twp,"0042"
-68.1769790454,44.5335187796,Basin Pond-4392-Sullivan,"4392"
-69.0725380942,44.5889374681,Basin Pond-5488-Monroe,"5488"
-70.0521677685,44.4573484998,Basin Pond-5654-Fayette,"5654"
-68.8945914321,45.9218283161,Basin Pond (Lower)-2044-Mount Katahdin Twp,"2044"
-68.8954719624,45.9248016527,Basin Pond (Upper)-2042-Mount Katahdin Twp,"2042"
-67.8316415698,45.5078091441,Baskahegan Lake-1078-Brookton Twp,"1078"
-68.5484882895,46.2846857264,Batch Pond-3024-T7 R6 WELS,"3024"
-70.1151500734,44.8209119426,Bauds Pond-18-New Vineyard,"0018"
-70.7389623428,43.3649867541,Bauneag Beg Lake-3992-North Berwick,"3992"
-70.5893750824,43.955188408,Bay of Naples Lake-9685-Naples,"9685"
-69.6193896009,44.4690938104,Beagle Club Pond-5451-Vassalboro,"5451"
-70.409544723,44.9031908453,Beal Pond-2320-Madrid Twp,"2320"
-69.1341224734,45.9361351639,Bean Hole Pond-694-T3 R11 WELS,"0694"
-69.9504944145,46.6407030537,Bean Pond-1880-T11 R17 WELS,"1880"
-69.9788049741,45.1277254523,Bean Pond-204-Pleasant Ridge Plt,"0204"
-69.8230753699,44.4004309744,Bean Pond-455-Sidney,"0455"
-69.2163387255,45.8068423173,Bean Pond-656-T2 R12 WELS,"0656"
-69.7118123945,46.0555863573,Bean Pot Pond-4026-T5 R15 WELS,"4026"
-69.6822606516,46.1466070054,Bear Brook Bog-4020-T6 R15 WELS,"4020"
-68.4118660385,46.1285731416,Bear Mountain Pond-3656-Moro Plt,"3656"
-68.7175440137,45.4447451308,Bear Pond-2136-Cedar Lake Twp,"2136"
-69.3285845015,45.8250117712,Bear Pond-2934-T2 R13 WELS,"2934"
-70.7178554374,44.1531068532,Bear Pond-3420-Waterford,"3420"
-69.6038107209,45.3386064555,Bear Pond-356-Shirley,"0356"
-70.2781712732,44.3388665745,Bear Pond-3624-Hartford,"3624"
-69.6903269391,46.136529055,Bear Pond-4018-T6 R15 WELS,"4018"
-68.0919849055,44.8540310299,Bear Pond-4480-T28 MD BPP,"4480"
-69.3266256155,45.7215457709,Bear Pond-456-T1 R13 WELS,"0456"
-70.3432995601,45.3774054995,Bear Pond-5140-T3 R5 BKP WKR,"5140"
-69.1963352364,45.6485168554,Bear Pond-528-TA R11 WELS,"0528"
-69.4246759074,44.3971560426,Bear Pond-5728-Palermo,"5728"
-69.1571594135,45.803314675,Bear Pond-636-Rainbow Twp,"0636"
-69.4654598227,45.3597453356,Bear Pond-882-Elliottsville Twp,"0882"
-69.298224292,45.3025464542,Bear Pond-9865-Bowerbank,"9865"
-70.6334704648,45.5024747934,Beattie Pond-5066-Beattie Twp,"5066"
-69.0562667009,47.3393782524,Beau Lake-9785-T19 R11 WELS,"9785"
-70.7382172511,45.007404449,Beaver Bog-2390-Rangeley,"2390"
-70.6642079821,45.1401527077,Beaver Bog Pond-2358-Tim Pond Twp,"2358"
-68.0005136249,46.0146639231,Beaver Brook Lake-1056-Linneus,"1056"
-69.9127726496,45.8819228017,Beaver Brook Pond-4048-Plymouth Twp,"4048"
-70.7898175937,43.2917709557,Beaver Dam Pond-6967-Berwick,"6967"
-68.1952628857,44.3612125381,Beaver Dam Pond-8567-Bar Harbor,"8567"
-70.7823530953,43.4795151811,Beaver Hill Pond-3743-Sanford,"3743"
-67.2091004089,45.1328006605,Beaver Lake-1414-Calais,"1414"
-70.1318739294,44.027780521,Beaver Park Pond #1-3809-Lisbon,"3809"
-70.1304425675,44.0298705242,Beaver Park Pond #2-3810-Lisbon,"3810"
-70.1271663502,44.0283692871,Beaver Park Pond #3-3811-Lisbon,"3811"
-67.5375347669,45.0386866577,Beaver Pond-1300-Crawford,"1300"
-68.3802165102,46.9196763796,Beaver Pond-1662-T14 R5 WELS,"1662"
-69.980434568,46.6984851531,Beaver Pond-1872-T12 R17 WELS,"1872"
-70.431288092,45.6736318765,Beaver Pond-2636-Forsyth Twp,"2636"
-68.4063280257,46.3400920752,Beaver Pond-3076-T8 R5 WELS,"3076"
-71.0448994522,45.1801259543,Beaver Pond-3114-Parmachenee Twp,"3114"
-70.8238827324,43.9956008205,Beaver Pond-3124-Denmark,"3124"
-70.9406753428,44.8962581494,Beaver Pond-3310-Magalloway Plt,"3310"
-70.7775004568,45.2609434164,Beaver Pond-3354-Seven Ponds Twp,"3354"
-70.6880778172,44.8124272673,Beaver Pond-3588-Township D,"3588"
-70.3559136457,44.5364993204,Beaver Pond-3644-Dixfield,"3644"
-69.2377221624,45.6359972119,Beaver Pond-484-Shawtown Twp,"0484"
-70.3641689388,43.6735137498,Beaver Pond-517-Westbrook,"0517"
-69.9279601429,44.5512421242,Beaver Pond-5342-Rome,"5342"
-70.7717856913,44.0657487516,Beaver Pond-5582-Bridgton,"5582"
-70.4115504844,43.407143602,Beaver Pond-5632-Kennebunkport,"5632"
-69.0796905298,45.8874144541,Beaver Pond-670-T3 R11 WELS,"0670"
-67.9973218148,45.103736281,Beaver Pond-7309-T42 MD BPP,"7309"
-69.2743029339,45.4310068482,Beaver Pond-818-T7 R9 NWP,"0818"
-70.6592581707,44.8746871629,Beaver Pond-8739-Rangeley Plt,"8739"
-68.1173007108,46.2271027487,Beaver Pond-9165-Dudley Twp,"9165"
-70.104143658,45.8341204073,Beaver Pond-9756-Alder Brook Twp,"9756"
-70.3111212784,44.834832429,Beaver Pond (East)-2326-Phillips,"2326"
-70.3177413743,44.8342063298,Beaver Pond (West)-2325-Phillips,"2325"
-68.9504744437,46.9019579438,Beaver Tail Pond-1536-T14 R9 WELS,"1536"
-70.3390709874,45.3728391353,Beck Pond-5142-T3 R5 BKP WKR,"5142"
-68.0512674331,44.8211687718,Beddington Lake-4524-Beddington,"4524"
-68.4601431052,44.6899817531,Beech Hill Pond-4352-Otis,"4352"
-68.5380646199,44.4747968635,Beech Island Pond-8429-Surry,"8429"
-69.451021621,44.3857490697,Beech Pond-5726-Palermo,"5726"
-68.5767284733,45.7623209649,Beer Logan-2306-Soldiertown Twp T2 R7 WELS,"2306"
-69.3857322352,44.4133979032,Belden Pond-5730-Palermo,"5730"
-68.9937706489,44.3936085314,Belfast Reservoir #1-7745-Northport,"7745"
-69.0111297208,44.4001569145,Belfast Reservoir #2-4830-Belfast,"4830"
-70.7197040345,43.2156477038,Bell Marsh Pond-123-York,"0123"
-70.7257086208,43.1965191265,Bell Marsh Reservoir-109-York,"0109"
-69.5213627938,45.3429512663,Bell Pond-340-Monson,"0340"
-68.8827729243,46.0028364733,Bell Pond-4210-T4 R9 WELS,"4210"
-68.943923734,44.7734186337,Ben Annis Pond-2282-Hermon,"2282"
-70.6345490184,45.0615818977,Ben Gile Pond-2323-Lang Twp,"2323"
-68.6286061501,47.119813866,Ben Lake-1638-Wallagrass,"1638"
-70.3623301124,45.5980419699,Benjamin Pond-2684-Attean Twp,"2684"
-67.8781293421,46.6177442886,Bennett Lake-1824-Easton,"1824"
-69.4563439886,45.1429895094,Bennett Pond-750-Parkman,"0750"
-68.6971709424,44.9572606961,Bennoch Pond-6576-Old Town,"6576"
-69.3969975943,45.8067399495,Berry Pond-2930-T2 R13 WELS,"2930"
-70.178917605,44.2052654277,Berry Pond-3794-Greene,"3794"
-70.0239718312,44.3336906556,Berry Pond-3828-Wayne,"3828"
-70.8042376664,44.1006613403,Berry Pond-5578-Sweden,"5578"
-67.7242663309,44.9091626928,Berrypatch Pond-9815-Day Block Twp,"9815"
-70.7985388333,44.4175446703,Bethel Swimming Pond-3261-Bethel,"3261"
-70.9718421434,43.8386750236,Bickford Pond-3158-Porter,"3158"
-70.4275724047,45.5518663039,Big Bartley Pond-2656-Holeb Twp,"2656"
-68.8568828351,46.2639189277,Big Beaver Pond-4162-T7 R9 WELS,"4162"
-69.0791585794,45.7962310211,Big Beaver Pond-610-Rainbow Twp,"0610"
-69.3352818704,45.2507390006,Big Bennett Pond-844-Guilford,"0844"
-69.3319399368,45.3650123365,Big Benson Pond-864-Willimantic,"0864"
-70.0394456197,45.5055860639,Big Berry Pond-2550-Johnson Mountain Twp,"2550"
-67.9029435214,47.0308932443,Big Black Brook Lake-1860-Caswell,"1860"
-69.1835878863,45.6232515747,Big Boardway Pond-494-TA R11 WELS,"0494"
-69.9821319384,46.1133338505,Big Bog-2412-T5 R17 WELS,"2412"
-69.0128458332,46.8457453836,Big Brook Lake-1480-T14 R10 WELS,"1480"
-69.5830403296,45.3273687562,Big Bunker Pond-362-Shirley,"0362"
-68.9847832452,46.2978203156,Big Caribou Pond-4142-T7 R10 WELS,"4142"
-70.8794427215,43.8767042255,Big Clemons Pond-3174-Hiram,"3174"
-70.5527807288,44.443335999,Big Concord Pond-3466-Woodstock,"3466"
-69.859330787,45.219141456,Big Dimmock Pond-236-Caratunk,"0236"
-69.6319505358,45.7622919429,Big Duck Pond-2954-East Middlesex Canal Grant Twp,"2954"
-69.3556925524,46.3313485252,Big Eagle Lake-2858-Eagle Lake Twp,"2858"
-70.4538146686,45.5507966696,Big Fish Pond-2660-Holeb Twp,"2660"
-69.2809075272,45.7790407552,Big Fisher Pond-2940-T2 R12 WELS,"2940"
-69.2568683278,45.3141024569,Big Grapevine Pond-840-Bowerbank,"0840"
-67.7487233312,45.6052882146,Big Greenland Pond-7469-Danforth,"7469"
-69.4060225941,45.36085989,Big Greenwood Pond-884-Elliottsville Twp,"0884"
-70.2430238518,45.9713070645,Big Grenier Pond-2456-T4 R5 NBKP,"2456"
-69.234607576,45.427622356,Big Houston Pond-916-T7 R9 NWP,"0916"
-69.6610267721,46.1678584625,Big Hurd Pond-4014-T6 R15 WELS,"4014"
-69.7374628347,45.4390024689,Big Indian Pond-324-Moosehead Junction Twp,"0324"
-69.3861332996,44.9350585212,Big Indian Pond-5464-Saint Albans,"5464"
-70.7457606108,45.2808110814,Big Island Pond-3352-Seven Ponds Twp,"3352"
-70.4275126643,44.3951285614,Big Labrador Pond-3598-Sumner,"3598"
-67.6870654347,45.1711995357,Big Lake-1288-Big Lake Twp,"1288"
-69.3210131115,45.592059056,Big Lyford Pond-438-Shawtown Twp,"0438"
-68.7946971891,46.6807410046,Big Machia Lake-1960-T12 R8 WELS,"1960"
-68.3466599153,45.2955214311,Big Madagascal Pond-2254-Burlington,"2254"
-68.8594620232,46.3404837272,Big Marsh Pond-4174-T8 R9 WELS,"4174"
-69.0503602211,45.7881371174,Big Minister Pond-590-T2 R10 WELS,"0590"
-69.6796778029,45.4545602228,Big Moose Pond-334-Moosehead Junction Twp,"0334"
-69.7377292381,46.0827542387,Big Mucalsea Pond-4036-Russell Pond Twp,"4036"
-69.1685670454,45.7948404441,Big Murphy Pond-638-Rainbow Twp,"0638"
-69.7039037728,45.4404142969,Big Notch Pond-328-Moosehead Junction Twp,"0328"
-69.4278252059,45.8680038647,Big Pine Pond-2920-T3 R13 WELS,"2920"
-69.1799264959,46.4734617632,Big Pleasant Lake-2756-T9 R11 WELS,"2756"
-69.169614432,45.6424677319,Big Pleasant Pond-512-TA R11 WELS,"0512"
-67.8973562758,44.4041719688,Big Pond-1392-Steuben,"1392"
-69.8413669925,43.7125169108,Big Pond-5678-Phippsburg,"5678"
-69.8004229399,44.0457974765,Big Pond-7797-Perkins Twp Swan Island,"7797"
-69.0570583256,46.3532340877,Big Reed Pond-2842-T8 R10 WELS,"2842"
-68.7475211761,45.99036746,Big Robar Pond-2296-T4 R8 WELS,"2296"
-69.1407210612,45.6518549578,Big Rocky Pond-522-TA R11 WELS,"0522"
-69.2380504611,45.6211731066,Big Spring Pond-9666-Shawtown Twp,"9666"
-70.1191581091,45.804932653,Big Trickey Pond-2514-Alder Brook Twp,"2514"
-69.3511555855,45.4456760633,Big Wilder Pond-806-T7 R9 NWP,"0806"
-70.9919243403,44.8583653241,Bigelow Pond-3318-Magalloway Plt,"3318"
-70.2428956899,45.3847323616,Bill Morris Pond-128-T3 R5 BKP WKR,"0128"
-68.8226664467,46.1358500675,Billfish Pond-4254-Trout Brook Twp,"4254"
-68.8372302163,46.6252560314,Billings Pond-1970-T11 R9 WELS,"1970"
-71.0239857858,45.226022265,Billings Pond #1-3108-Parmachenee Twp,"3108"
-71.0222538004,45.2298224362,Billings Pond #2-3110-Parmachenee Twp,"3110"
-68.0627822828,44.3916812513,Birch Harbor Pond-4468-Winter Harbor,"4468"
-70.5567757205,44.6428958502,Birch Pond-3508-Roxbury,"3508"
-69.1525979542,45.641249738,Birch Ridge Pond #1-514-TA R11 WELS,"0514"
-69.1502155187,45.6384548993,Birch Ridge Pond #2-516-TA R11 WELS,"0516"
-69.1583794989,45.6420311438,Birch Ridge Pond #3-518-TA R11 WELS,"0518"
-69.8614972786,43.8337403808,Birchwood Pond-5872-West Bath,"5872"
-70.5541059547,44.2469327132,Bird Pond-9693-Norway,"9693"
-69.4788677639,44.0031792374,Biscay Pond-5710-Bremen,"5710"
-68.6800739858,46.7474597293,Bishop Pond-1572-T13 R7 WELS,"1572"
-67.9066326925,46.7055444798,Bishop Pond-1812-Fort Fairfield,"1812"
-69.3116295309,45.7750033421,Black Brook Deadwater-9706-T2 R12 WELS,"9706"
-70.1640062094,45.2396799546,Black Brook Pond-40-Pierce Pond Twp,"0040"
-69.8925976194,45.3980294283,Black Brook Pond-4062-Moxie Gore,"4062"
-67.7601939196,44.7998815323,Black Brook Pond #1-1184-T19 MD BPP,"1184"
-67.7559048276,44.800228347,Black Brook Pond #2-1189-T19 MD BPP,"1189"
-67.7645625461,44.7978634707,Black Brook Pond #3-1188-T19 MD BPP,"1188"
-67.7695234449,44.7996007084,Black Brook Pond #4-1190-T19 MD BPP,"1190"
-67.7629483951,44.8036384374,Black Brook Pond #5-1194-T25 MD BPP,"1194"
-67.7570623115,44.8039736818,Black Brook Pond #6-1192-T25 MD BPP,"1192"
-68.4597433227,46.3147706776,Black Cat Pond-3086-T8 R6 WELS,"3086"
-69.9752775139,44.9134045656,Black Hill Pond-79-Embden,"0079"
-68.913270178,47.0613861579,Black Lake-1568-T16 R9 WELS,"1568"
-68.4671009476,47.2136911567,Black Lake-1666-Fort Kent,"1666"
-68.8379060291,46.9745317266,Black Pond-1506-T15 R9 WELS,"1506"
-68.7260221619,47.1684753898,Black Pond-1622-Saint John Plt,"1622"
-69.4798467568,46.1426403739,Black Pond-2896-T6 R14 WELS,"2896"
-70.7993329077,44.1452104818,Black Pond-3230-Sweden,"3230"
-70.917658813,43.8302828846,Black Pond-351-Porter,"0351"
-70.2622928677,44.2308960731,Black Pond-3740-Turner,"3740"
-70.9371732429,43.4598735946,Black Pond-3878-Lebanon,"3878"
-69.2782417123,45.7470592878,Black Pond-454-T1 R12 WELS,"0454"
-68.6569944352,44.3385321598,Black Pond-4644-Sedgwick,"4644"
-70.0005282539,44.5280195767,Black Pond-5180-Vienna,"5180"
-70.9625140772,43.9843627307,Black Pond-5564-Fryeburg,"5564"
-69.0192023429,46.3410227293,Black Spruce Pond-2844-T8 R10 WELS,"2844"
-69.0106586744,46.2880689177,Blackmore Pond-2830-T7 R10 WELS,"2830"
-70.1656468651,45.6341629089,Blair Pond-9728-Jackman,"9728"
-70.6899282777,43.1346358132,Blaisdell Pond-5600-York,"5600"
-69.8315348587,43.7764963727,Blaisdell Pond-7785-Phippsburg,"7785"
-68.5379257064,47.0942729151,Blake Lake-1648-T16 R6 WELS,"1648"
-68.4882038221,46.9248854086,Blake Lake-9181-T15 R6 WELS,"9181"
-69.4483430691,44.4238825325,Blake Pond-7749-Palermo,"7749"
-70.4316235759,45.3880636547,Blakeslee Lake-5114-T5 R6 BKP WKR,"5114"
-70.2660099428,43.8019346414,Blanchard Pond-4325-Cumberland,"4325"
-70.5975479952,45.2707412785,Blanchard Pond-5056-Alder Stream Twp,"5056"
-70.6579808974,45.07308672,Blanchard Pond #1-2366-Lang Twp,"2366"
-70.6602284009,45.073987275,Blanchard Pond #2-8611-Davis Twp,"8611"
-70.6605888185,45.0707937328,Blanchard Pond #3-2370-Davis Twp,"2370"
-69.7433751842,46.8505926667,Blood Lake-1458-T14 R16 WELS,"1458"
-69.4309368557,45.8007957678,Blood Pond-2928-T2 R13 WELS,"2928"
-69.4066512343,46.8363623648,Blue Pond-1468-T13 R13 WELS,"1468"
-68.9113086916,45.9286907798,Blueberry Pond-8246-Mount Katahdin Twp,"8246"
-69.3671331816,45.6028066543,Bluff Pond-434-Frenchtown Twp,"0434"
-69.0974942788,46.3736801396,Bluffer Pond-2794-T8 R11 WELS,"2794"
-68.9882819669,46.1586463999,Blunder Pond-4228-T6 R10 WELS,"4228"
-68.3129480218,44.4721248945,Blunts Pond-4550-Lamoine,"4550"
-69.8647314919,46.0208172746,Bobs Pond-2426-T4 R17 WELS,"2426"
-67.978157111,44.7771016542,Bog Brook Flowage-7449-Beddington,"7449"
-69.1845731534,46.538823742,Bog Brook Pond-6340-T10 R11 WELS,"6340"
-67.5778197588,44.85074232,Bog Lake-1258-Northfield,"1258"
-67.2845153765,44.8420418631,Bog Lake-1376-Marion Twp,"1376"
-68.3346421525,46.8885884568,Bog Lake-1664-T14 R5 WELS,"1664"
-70.4101403564,44.8472508049,Bog Pond-2328-Phillips,"2328"
-69.5744310648,44.8858909778,Bog Pond-2586-Hartland,"2586"
-70.3027367098,45.541834634,Bog Pond-2680-Attean Twp,"2680"
-69.2845325899,46.2736988607,Bog Pond-2864-T7 R12 WELS,"2864"
-70.9363945707,44.0522289826,Bog Pond-3248-Fryeburg,"3248"
-70.6857914442,44.1568120365,Bog Pond-3417-Waterford,"3417"
-70.6211774507,44.1171471555,Bog Pond-3450-Harrison,"3450"
-68.4874862728,44.5924891652,Bog Pond-4376-Ellsworth,"4376"
-69.1710684468,45.6671447833,Bog Pond-530-TA R11 WELS,"0530"
-69.8657045901,44.3035663193,Bog Pond-5324-Manchester,"5324"
-69.9204342398,44.3979974354,Bog Pond-8105-Readfield,"8105"
-68.760135188,45.459245604,Bog Pond-944-Cedar Lake Twp,"0944"
-68.0272366606,44.5324278922,Bogus Meadow-4380-T7 SD BPP,"4380"
-67.7652771815,45.1972577291,Bonney Brook Lake-1112-Grand Lake Stream Plt,"1112"
-70.583691241,43.6909507699,Bonny Eagle Lake-5042-Standish,"5042"
-70.0752796582,44.2430712819,Bonny Pond-3812-Leeds,"3812"
-68.7358735249,46.3213762736,Boody Pond-3000-T8 R8 WELS,"3000"
-69.9754577328,44.5724604033,Boody Pond-5332-Vienna,"5332"
-67.7175019694,45.6776572741,Booming Ground (Spednic Lake)-121-Forest City Twp,"0121"
-69.2893608314,45.4268014024,Boot Pond-816-T7 R9 NWP,"0816"
-68.805552238,44.052514878,Booth Quarry-7939-Vinalhaven,"7939"
-70.8426582727,43.9333617624,Boston Pond-3146-Denmark,"3146"
-68.6123394584,46.391938251,Botting Pond-1998-T9 R7 WELS,"1998"
-68.0578801784,45.3105516916,Bottle Lake-4702-Lakeville,"4702"
-68.8524842711,45.7767019934,Bottle Pond-2070-T2 R9 WELS,"2070"
-70.323000013,45.5113994737,Boulder Pond-2672-T5 R7 BKP WKR,"2672"
-70.6983634989,43.1703907963,Boulter Pond-5594-York,"5594"
